Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
108,yung joc,,see,got,know,nigga,joc,niggas,ain't,money,keep,da,bitch,yeah,tell,dope,love,28,90,153,243
109,project pat,,,,,,,,,,,,,,,,,28,99,32,131
110,trey songz,,tonight,know,love,got,yeah,baby,come,want,oh,shit,time,wanna,nigga,need,way,28,186,31,217
111,baby tate,,,,,,,,,,,,,,,,,2,76,9,85
112,lil duval,,,,,,,,,,,,,,,,,2,20,87,107
113,french montana,,money,go,big,nigga,rip,new,baby,niggas,gotta,oh,one,got,know,never,boy,2,211,105,316
114,quavo,,yeah,white,got,talk,go,lamb,black,nigga,two,woo,bitch,shit,uh,skrrt,gon',2,224,39,263
115,skooly,,,,,,,,,,,,,,,,,2,18,10,28
116,rich homie quan,,,,,,,,,,,,,,,,,2,73,19,92
117,fergie,,,,,,,,,,,,,,,,,28,65,10,75
118,a$ap rocky,,yeah,niggas,nigga,old,aap,bitch,rocky,fuck,head,know,changes,feel,still,got,kids,2,156,42,198
119,youngboy never broke again,,bitch,know,shit,im,nigga,got,ain't,yeah,fuck,now,niggas,go,gon',one,say,2,215,26,241
120,gorilla zoe,,,,,,,,,,,,,,,,,28,72,19,91
121,juicy j,,party,high,got,yeah,back,hit,ain't,nigga,money,club,close,beef,make,'til,gon',2,238,73,311
122,chance the rapper,,juke,yeah,love,ooh,break,know,got,ring,highs,chance,come,big,fuck,lows,hot,2,120,126,246
123,the-dream,,,,,,,,,,,,,,,,,28,121,14,135
124,styles p,,niggas,nigga,ain't,got,shit,im,go,know,time,put,first,real,back,see,gotta,29,214,46,260
125,wale,,tiffany,black,go,love,ice,yeah,tell,want,fire,baby,got,ain't,cold,let,know,2,247,62,309
126,pusha t,,got,nigga,ain't,one,yeah,niggas,see,plus,might,every,time,say,right,oh,hold,28,170,31,201
127,gudda gudda,,,,,,,,,,,,,,,,,72,23,81,104
128,jhen&#233; aiko,,,,,,,,,,,,,,,,,2,169,21,190
129,waka flocka flame,,fuck,'em,clap,flocka,waka,money,nigga,got,flame,tell,bring,i'ma,know,said,put,28,156,52,208
130,mike posner,,,,,,,,,,,,,,,,,2,61,19,80
131,boy wonder,,,,,,,,,,,,,,,,,5,3,24,27
132,travis scott,,yeah,never,smoke,one,pop,got,drink,crew,shit,steady,liked,outside,ain't,come,scott,2,127,29,156
133,scarface,,smile,got,yeah,ain't,now,keep,nigga,back,shit,day,know,let,niggas,see,every,28,155,37,192
134,nocap,,,,,,,,,,,,,,,,,2,78,9,87
135,young dolph,,yeah,got,bitch,niggas,shit,nigga,money,know,keep,man,say,might,im,dont,dolph,2,116,38,154
136,jadakiss,,clap,niggas,real,ain't,nigga,know,now,yeah,see,bitch,new,say,right,nothin',rain,29,247,61,308
137,chris brown,,yeah,girl,let,baby,oh,know,ooh,now,time,got,think,'cause,fallin',lottery,chris,28,266,75,341
138,swae lee,,yeah,oh,ayy,check,got,system,reality,go,watchin',gotta,straight,need,ooh,tell,'em,2,153,85,238
139,meek mill,,know,niggas,shit,nigga,got,bitch,bitches,let,'cause,fuck,hit,ain't,pain,'em,see,2,216,66,282
140,ne-yo,,let,see,love,know,baby,now,cause,show,aint,said,want,youre,anyone,worth,found,28,164,27,191
141,lil durk,,niggas,ain't,nigga,know,got,shit,ayy,real,feel,bitch,goin',boys,jack,city,'em,2,255,43,298
142,drake,,yeah,now,ain't,'bout,know,right,tellin',okay,want,already,girl,see,got,home,nigga,2,212,40,252
143,brent faiyaz,,,,,,,,,,,,,,,,,2,26,88,114
144,lil wayne,,kit,ass,baby,trippy,got,shit,make,yeah,shake,wayne,new,clap,round,good,go,28,402,85,487
145,matt toka,,,,,,,,,,,,,,,,,2,1,0,1
146,e-40,,fried,gold,im,yellow,aint,mine,got,jumpin,know,one,e40,trap,money,yeah,niggas,72,303,133,436
147,lil jon,,fuck,dat,go,pop,round,give,outta,hey,walk,pussy,shake,shit,mind,nigga,dance,28,139,23,162
148,roddy ricch,,yeah,got,ayy,ain't,know,niggas,nigga,gotta,house,new,go,shit,lot,made,give,2,239,64,303
149,yfn lucci,,,,,,,,,,,,,,,,,2,73,27,100
150,john legend,,,,,,,,,,,,,,,,,28,110,14,124
