Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
690,blueface,,,,,,,,,,,,,,,,,2,54,30,84
691,dardan,,,,,,,,,,,,,,,,,5,22,15,37
692,mr eazi,,,,,,,,,,,,,,,,,6,58,17,75
693,kenny mason,,,,,,,,,,,,,,,,,2,35,51,86
694,snow tha product,,,,,,,,,,,,,,,,,28,82,9,91
695,mac miller,,let,'em,hey,go,love,got,'cause,heart,yeah,one,oh,gettin',better,fuck,still,2,168,23,191
696,myke towers,,,,,,,,,,,,,,,,,5,68,19,87
697,eno,,,,,,,,,,,,,,,,,5,15,0,15
698,arrdee,,come,go,arrdee,mind,got,whiz,man,'cause,lit,life,know,alright,ain't,trust,baby,2,56,133,189
699,desiigner,,,,,,,,,,,,,,,,,2,57,6,63
700,j. cole,,nigga,know,shit,now,got,niggas,better,break,never,life,come,man,thing,right,ain't,2,119,82,201
701,de la ghetto,,,,,,,,,,,,,,,,,5,79,26,105
702,post malone,,yeah,young,never,fault,now,one,see,ayy,ooh,right,bitches,hit,shit,got,oh,2,198,98,296
703,princess nokia,,girl,little,tomboy,love,titties,shit,phat,got,'cause,give,fuck,belly,go,bitch,still,2,42,131,173
704,iggy azalea,,,,,,,,,,,,,,,,,28,79,10,89
705,august alsina,,,,,,,,,,,,,,,,,28,47,16,63
706,cardi b,,bitches,gang,bitch,rollin',shit,said,pull,yeah,press,woo,now,ain't,got,gotta,gon',2,237,19,256
707,lil skies,,tryna,yeah,ain't,nigga,got,go,know,one,now,ayy,lot,wanna,shit,way,take,2,109,67,176
708,ashnikko,,mind,ooh,now,done,fuck,manners,think,stupid,need,love,never,la,boy,party,go,2,54,108,162
709,chika,,know,got,yeah,now,remember,nah,aint,counted,time,doubting,make,ain't,shit,see,might,2,20,132,152
710,rico nasty,,shut,yeah,huh,got,shit,bitch,go,fuck,let,feel,baby,know,ain't,rico,oh,2,127,21,148
711,trippie redd,,yeah,man,fuck,nigga,ain't,bitch,dead,real,you's,'cause,keep,take,oh,away,shit,2,168,56,224
712,&#241;engo flow,,,,,,,,,,,,,,,,,5,35,14,49
713,bad bunny,,que,ey,yo,de,y,la,eh,es,se,bien,pero,el,te,soy,t&#250;,5,122,27,149
714,xxxtentacion,,na,ayy,yeah,uh,fuck,bitch,look,right,hey,oh,nigga,back,yah,might,got,2,111,145,256
715,ll cool j,,hey,crossroads,knock,now,fuck,tonight,know,back,girl,uh,said,gonna,yeah,keep,best,28,156,37,193
716,lizzo,,oh,ooh,ain't,comin',tonight,baby,love,hoes,betch'you,girl,know,needy,cool,say,yeah,2,158,42,200
717,don toliver,,yeah,huh,uh,know,okay,much,oh,ya,need,love,two,girl,got,keep,might,2,198,105,303
718,rema,,,,,,,,,,,,,,,,,2,57,11,68
719,mereba,,,,,,,,,,,,,,,,,2,34,91,125
720,lucky daye,,,,,,,,,,,,,,,,,2,46,13,59
721,khalid,,,,,,,,,,,,,,,,,2,99,15,114
722,tinashe,,,,,,,,,,,,,,,,,2,21,13,34
723,the 6th letter,,,,,,,,,,,,,,,,,29,3,8,11
724,pete rock,,da,mic,hold,write,ba,yeah,xprt,nigga,rap,time,prime,minister,believe,ii,n,29,99,61,160
725,bishop nehru,,,,,,,,,,,,,,,,,29,4,2,6
726,chuck inglish,,,,,,,,,,,,,,,,,29,17,25,42
727,lord apex,,,,,,,,,,,,,,,,,29,13,21,34
728,raz fresco,,,,,,,,,,,,,,,,,29,15,13,28
729,808melo,,,,,,,,,,,,,,,,,3,0,0,0
730,88camino,,,,,,,,,,,,,,,,,2,0,2,2
731,kid cudi,,want,maybe,oh,yeah,know,ooh,cleveland,love,cold,one,leave,nigga,way,time,now,2,203,23,226
732,jean grae,,shit,oh,zero,everything,still,know,la,dont,see,hear,uh,huh,right,go,keep,29,44,108,152
733,guru,,,,,,,,,,,,,,,,,29,61,0,61
734,craig g,,,,,,,,,,,,,,,,,29,76,56,132
735,ohmega watts,,,,,,,,,,,,,,,,,29,9,15,24
736,saul williams,,,,,,,,,,,,,,,,,29,29,41,70
737,bahamadia,,rock,gonna,need,true,know,right,wit,got,ya,ain't,go,live,yeah,back,hard,29,32,125,157
738,marco polo,,,,,,,,,,,,,,,,,29,26,52,78
739,asheru,,,,,,,,,,,,,,,,,29,8,26,34
740,kool keith,,,,,,,,,,,,,,,,,29,84,36,120
741,black the ripper,,,,,,,,,,,,,,,,,6,3,21,24
742,phonte,,,,,,,,,,,,,,,,,29,50,72,122
743,dj rhettmatic,,,,,,,,,,,,,,,,,29,16,42,58
744,wordsworth,,,,,,,,,,,,,,,,,29,62,0,62
745,9th wonder,,,,,,,,,,,,,,,,,29,28,76,104
746,q-tip,,hey,work,hoo,got,now,gets,make,gettin,'chu,girl,see,way,uh,come,thing,28,101,97,198
747,mos def,,,,,,,,,,,,,,,,,28,132,210,342
748,reef the lost cauze,,,,,,,,,,,,,,,,,29,74,54,128
749,common,,take,gonna,baby,world,yo,pimp,music,see,know,ain't,will,way,god,might,ohhh,28,147,23,170
750,braille,,,,,,,,,,,,,,,,,29,22,19,41
751,speech,,,,,,,,,,,,,,,,,29,16,0,16
752,dj spinna,,,,,,,,,,,,,,,,,29,22,5,27
753,9ice,,,,,,,,,,,,,,,,,6,9,12,21
754,duncan mighty,,,,,,,,,,,,,,,,,6,15,22,37
755,phyno,,,,,,,,,,,,,,,,,6,40,16,56
756,wande coal,,,,,,,,,,,,,,,,,6,25,17,42
757,mode 9,,,,,,,,,,,,,,,,,6,3,0,3
758,skales,,,,,,,,,,,,,,,,,6,25,17,42
759,terry g,,,,,,,,,,,,,,,,,6,7,0,7
760,timaya,,,,,,,,,,,,,,,,,6,25,7,32
761,banky w.,,,,,,,,,,,,,,,,,6,10,28,38
762,wyclef jean,,,,,,,,,,,,,,,,,28,73,35,108
763,ynw melly,,,,,,,,,,,,,,,,,2,32,33,65
764,asian doll,,,,,,,,,,,,,,,,,2,25,31,56
765,akir,,,,,,,,,,,,,,,,,29,12,0,12
766,peace,,,,,,,,,,,,,,,,,29,2,0,2
767,reks,,,,,,,,,,,,,,,,,29,78,32,110
768,sav killz,,,,,,,,,,,,,,,,,29,23,0,23
769,big noyd,,,,,,,,,,,,,,,,,29,44,73,117
770,easy mo bee,,,,,,,,,,,,,,,,,29,10,32,42
771,torae,,,,,,,,,,,,,,,,,29,60,59,119
772,blaq poet,,,,,,,,,,,,,,,,,29,61,36,97
773,childish gambino,,,,,,,,,,,,,,,,,2,29,90,119
774,propaganda,,,,,,,,,,,,,,,,,30,20,15,35
775,brother ali,,,,,,,,,,,,,,,,,29,35,32,67
776,rapsody,,,,,,,,,,,,,,,,,29,74,31,105
777,queen naija,,,,,,,,,,,,,,,,,2,47,49,96
778,dj premier,,lah,full,niggas,life,got,shake,know,everybody,shit,bumpy,word,now,room,nigga,smokin,29,111,45,156
779,hatik,,,,,,,,,,,,,,,,,5,13,6,19
780,mr. cheeks,,,,,,,,,,,,,,,,,29,41,39,80
781,big pooh,,,,,,,,,,,,,,,,,29,7,37,44
782,dan the automator,,,,,,,,,,,,,,,,,29,11,50,61
783,teyana taylor,,oh,yeah,ain't,now,gotta,love,ones,right,know,made,got,want,baby,bare,wake,2,89,65,154
784,add-2,,,,,,,,,,,,,,,,,29,7,44,51
785,l.e.g.a.c.y.,,,,,,,,,,,,,,,,,29,13,62,75
786,dinos,,,,,,,,,,,,,,,,,5,31,11,42
787,cesar comanche,,,,,,,,,,,,,,,,,29,17,34,51
788,terrace martin,,,,,,,,,,,,,,,,,72,40,25,65
789,towkio,,,,,,,,,,,,,,,,,2,8,70,78
790,dyme-a-duzin,,,,,,,,,,,,,,,,,29,6,23,29
791,el da sensei,,,,,,,,,,,,,,,,,29,84,54,138
792,nekfeu,,,,,,,,,,,,,,,,,5,26,49,75
793,don q,,,,,,,,,,,,,,,,,2,27,48,75
794,yung bleu,,,,,,,,,,,,,,,,,2,36,35,71
795,dj envy,,,,,,,,,,,,,,,,,6,3,27,30
796,london on da track,,,,,,,,,,,,,,,,,2,13,115,128
797,nav,,,,,,,,,,,,,,,,,2,37,70,107
798,juice wrld,,feel,know,yeah,let,alone,uh,times,head,go,work,wanna,now,mind,ain't,oh,2,155,22,177
799,b-lovee,,,,,,,,,,,,,,,,,2,13,19,32
800,davido,,,,,,,,,,,,,,,,,6,82,26,108
801,a+,,,,,,,,,,,,,,,,,4,0,0,0
802,a.chal,,,,,,,,,,,,,,,,,5,5,71,76
803,jennifer lopez,,,,,,,,,,,,,,,,,28,69,24,93
804,sza,,,,,,,,,,,,,,,,,2,56,81,137
805,swizz beatz,,,,,,,,,,,,,,,,,28,65,77,142
806,darell,,,,,,,,,,,,,,,,,5,34,9,43
807,a$ap nast,,,,,,,,,,,,,,,,,2,12,52,64
808,manuel turizo,,,,,,,,,,,,,,,,,5,24,15,39
809,lil peep,,,,,,,,,,,,,,,,,2,10,12,22
810,goldlink,,,,,,,,,,,,,,,,,2,34,17,51
811,wisin,,,,,,,,,,,,,,,,,5,38,27,65
812,mala rodr&#237;guez,,,,,,,,,,,,,,,,,5,32,29,61
813,lil mosey,,yeah,bitch,back,nigga,know,mmm,got,now,see,bust,wanna,us,uh,bands,skrrt,2,115,32,147
814,dreezy,,yeah,got,know,ain't,body,dreezy,baby,catch,im,band,break,say,wanna,see,oh,2,63,175,238
815,lecrae,,,,,,,,,,,,,,,,,30,40,25,65
816,kash doll,,back,shit,ass,bitch,bust,want,nigga,ain't,rich,open,bitches,talk,stop,pussy,money,2,58,125,183
817,jidenna,,,,,,,,,,,,,,,,,2,6,79,85
818,khea,,,,,,,,,,,,,,,,,5,26,6,32
819,tommy genesis,,,,,,,,,,,,,,,,,2,7,18,25
820,duki,,,,,,,,,,,,,,,,,5,32,10,42
821,rico love,,,,,,,,,,,,,,,,,28,42,74,116
822,danileigh,,,,,,,,,,,,,,,,,2,47,61,108
823,steve lacy,,,,,,,,,,,,,,,,,2,21,41,62
824,cazzu,,,,,,,,,,,,,,,,,5,13,9,22
825,a.d.o.r.,,,,,,,,,,,,,,,,,29,0,2,2
826,savage,,,,,,,,,,,,,,,,,2,19,37,56
827,diamond d,,,,,,,,,,,,,,,,,29,51,0,51
828,a.l.t.,,,,,,,,,,,,,,,,,72,3,17,20
829,gemini,,,,,,,,,,,,,,,,,72,17,12,29
830,lil rob,,,,,,,,,,,,,,,,,72,11,2,13
831,capone,,,,,,,,,,,,,,,,,72,37,21,58
832,frost,,,,,,,,,,,,,,,,,72,20,0,20
833,kid frost,,,,,,,,,,,,,,,,,72,23,87,110
834,scoop deville,,,,,,,,,,,,,,,,,72,9,37,46
835,south park mexican,,,,,,,,,,,,,,,,,72,12,16,28
836,mr. capone-e,,,,,,,,,,,,,,,,,72,25,20,45
837,a-plus,,,,,,,,,,,,,,,,,29,13,22,35
838,knxwledge,,,,,,,,,,,,,,,,,29,11,25,36
839,bj the chicago kid,,,,,,,,,,,,,,,,,2,96,40,136
840,noname,,,,,,,,,,,,,,,,,2,14,38,52
841,andr&#233; 3000,,,,,,,,,,,,,,,,,28,33,136,169
842,a-trak,,,,,,,,,,,,,,,,,29,61,0,61
843,a-q,,,,,,,,,,,,,,,,,28,5,72,77
844,apache,,,,,,,,,,,,,,,,,29,14,2,16
845,phife dawg,,,,,,,,,,,,,,,,,29,20,75,95
846,j dilla,,,,,,,,,,,,,,,,,29,33,44,77
847,da brat,,da,niggas,shit,bitches,brat,keep,hey,baby,life,got,ain't,bitch,know,y'all,ho,28,45,140,185
848,bryson tiller,,,,,,,,,,,,,,,,,2,46,61,107
849,b-real,,,,,,,,,,,,,,,,,29,109,6,115
850,big pun,,shit,darlin',nigga,ain't,niggas,fuck,love,now,player,lot,back,'em,beware,game,gave,29,55,145,200
851,james brown,,,,,,,,,,,,,,,,,28,34,0,34
852,godfather don,,,,,,,,,,,,,,,,,29,7,54,61
853,charli baltimore,,,,,,,,,,,,,,,,,28,15,88,103
854,omarion,,,,,,,,,,,,,,,,,28,56,22,78
855,kris kross,,,,,,,,,,,,,,,,,28,19,67,86
856,kesha,,,,,,,,,,,,,,,,,28,39,7,46
857,jason nevins,,,,,,,,,,,,,,,,,28,16,36,52
858,petter,,,,,,,,,,,,,,,,,5,6,0,6
859,will smith,,,,,,,,,,,,,,,,,28,39,24,63
860,fantasia,,,,,,,,,,,,,,,,,28,11,12,23
861,dj jazzy jeff,,,,,,,,,,,,,,,,,28,27,67,94
862,chip,,,,,,,,,,,,,,,,,6,58,4,62
863,pras,,,,,,,,,,,,,,,,,28,27,76,103
864,prince paul,,,,,,,,,,,,,,,,,29,25,78,103
865,dres,,,,,,,,,,,,,,,,,29,18,7,25
866,schoolly d,,,,,,,,,,,,,,,,,28,16,50,66
867,kool moe dee,,,,,,,,,,,,,,,,,28,16,49,65
868,craig david,,,,,,,,,,,,,,,,,2,34,9,43
869,dj scratch,,,,,,,,,,,,,,,,,29,12,32,44
870,lunchmoney lewis,,,,,,,,,,,,,,,,,2,17,63,80
871,a-reece,,,,,,,,,,,,,,,,,6,10,13,23
872,flame,,,,,,,,,,,,,,,,,30,9,53,62
873,stogie t,,,,,,,,,,,,,,,,,6,16,34,50
874,khuli chana,,,,,,,,,,,,,,,,,6,17,40,57
875,dj maphorisa,,,,,,,,,,,,,,,,,6,18,12,30
876,joey fatts,,,,,,,,,,,,,,,,,2,6,20,26
877,blxckie,,,,,,,,,,,,,,,,,6,19,21,40
878,kamaiyah,,,,,,,,,,,,,,,,,2,18,27,45
879,sims,,,,,,,,,,,,,,,,,29,11,0,11
880,emtee,,,,,,,,,,,,,,,,,6,19,14,33
881,cassper nyovest,,,,,,,,,,,,,,,,,6,31,19,50
882,sjava,,,,,,,,,,,,,,,,,6,21,34,55
883,jermaine dupri,,everything,ain't,gucci,nigga,know,u,pay,f,shawty,bae,shit,uh,level,jermaine,dupri,28,58,105,163
884,static major,,,,,,,,,,,,,,,,,28,9,121,130
885,bow wow,,,,,,,,,,,,,,,,,28,27,20,47
886,fleur east,,,,,,,,,,,,,,,,,5,4,31,35
887,tank,,,,,,,,,,,,,,,,,28,42,16,58
888,j-kwon,,,,,,,,,,,,,,,,,28,22,86,108
889,mariah carey,,,,,,,,,,,,,,,,,28,55,31,86
890,murphy lee,,,,,,,,,,,,,,,,,28,31,5,36
891,killer mike,,,,,,,,,,,,,,,,,28,78,31,109
892,montell jordan,,baby,oh,go,tonight,yeah,girl,want,come,know,good,things,right,now,gonna,alright,28,78,105,183
893,lumidee,,,,,,,,,,,,,,,,,28,24,10,34
894,slick rick,,run,hurt,love,teenage,now,scratched,rrun,come,one,rick,go,way,'em,treat,girl,28,106,185,291
895,ab-soul,,shit,git,know,something,nigga,new,done,run,away,long,term,open,niggas,got,gotta,2,62,168,230
896,rj,,,,,,,,,,,,,,,,,72,11,20,31
897,marlon craft,,,,,,,,,,,,,,,,,29,17,6,23
898,bas,,,,,,,,,,,,,,,,,2,31,7,38
899,slowthai,,,,,,,,,,,,,,,,,2,22,23,45
900,funkmaster flex,,,,,,,,,,,,,,,,,28,8,0,8
901,isaiah rashad,,,,,,,,,,,,,,,,,2,23,115,138
902,smino,,,,,,,,,,,,,,,,,2,77,17,94
903,valee,,,,,,,,,,,,,,,,,2,37,8,45
904,ghetts,,,,,,,,,,,,,,,,,2,33,61,94
905,russ,,,,,,,,,,,,,,,,,2,33,24,57
906,eazy-e,,'em,wet,nigga,niggas,fuck,now,eazy,tell,motherfucker,dre,still,fuckin',shit,'cause,g,28,75,151,226
907,nines,,niggas,see,nigga,money,make,got,ain't,still,now,shinin',ha,day,rain,cah,wanna,2,20,147,167
908,domo genesis,,,,,,,,,,,,,,,,,29,36,101,137
909,slim jxmmi,,bad,girl,christmas,ass,ain't,gettin',nothin',freaky,hey,yeah,want,girls,ayy,wishlist,good,2,41,185,226
910,stalley,,,,,,,,,,,,,,,,,28,74,19,93
911,don cannon,,,,,,,,,,,,,,,,,2,5,31,36
912,alex wiley,,,,,,,,,,,,,,,,,29,10,4,14
913,d-loc,,,,,,,,,,,,,,,,,72,14,4,18
914,demrick,,,,,,,,,,,,,,,,,29,52,28,80
915,token,,,,,,,,,,,,,,,,,29,14,37,51
916,ari lennox,,,,,,,,,,,,,,,,,2,66,47,113
917,radamiz,,,,,,,,,,,,,,,,,29,5,8,13
918,meechy darko,,,,,,,,,,,,,,,,,2,16,56,72
919,madlib,,,,,,,,,,,,,,,,,29,52,31,83
920,earl sweatshirt,,,,,,,,,,,,,,,,,2,43,91,134
921,nf,,,,,,,,,,,,,,,,,2,17,62,79
922,eligh,,,,,,,,,,,,,,,,,29,52,16,68
923,jpegmafia,,,,,,,,,,,,,,,,,2,22,44,66
924,zacari,,,,,,,,,,,,,,,,,2,22,100,122
925,teeflii,,,,,,,,,,,,,,,,,72,17,21,38
926,abena rockstar,,,,,,,,,,,,,,,,,6,0,1,1
927,medikal,,,,,,,,,,,,,,,,,6,17,7,24
928,abdominal,,,,,,,,,,,,,,,,,29,3,10,13
929,chali 2na,,,,,,,,,,,,,,,,,29,39,29,68
930,sev statik,,,,,,,,,,,,,,,,,29,6,17,23
931,d-sisive,,,,,,,,,,,,,,,,,29,21,49,70
932,lyrics born,,,,,,,,,,,,,,,,,29,18,22,40
933,gift of gab,,,,,,,,,,,,,,,,,29,38,93,131
934,wax,,,,,,,,,,,,,,,,,29,21,3,24
935,abra cadabra,,,,,,,,,,,,,,,,,2,12,7,19
936,bandokay,,,,,,,,,,,,,,,,,2,13,36,49
937,dappy,,,,,,,,,,,,,,,,,2,14,0,14
938,unknown t,,,,,,,,,,,,,,,,,2,35,46,81
939,headie one,,,,,,,,,,,,,,,,,2,44,24,68
940,double lz,,,,,,,,,,,,,,,,,2,7,25,32
941,rv,,,,,,,,,,,,,,,,,2,9,60,69
942,farruko,,,,,,,,,,,,,,,,,5,36,20,56
943,jon z,,,,,,,,,,,,,,,,,5,41,10,51
944,moka only,,,,,,,,,,,,,,,,,29,66,6,72
945,kurtis blow,,,,,,,,,,,,,,,,,28,46,77,123
946,planetary,,,,,,,,,,,,,,,,,29,31,84,115
947,scarub,,,,,,,,,,,,,,,,,29,23,37,60
948,eyedea,,,,,,,,,,,,,,,,,29,6,29,35
949,luckyiam,,,,,,,,,,,,,,,,,29,19,52,71
950,aloe blacc,,,,,,,,,,,,,,,,,29,73,1,74
951,taktloss,,,,,,,,,,,,,,,,,5,1,10,11
952,self jupiter,,,,,,,,,,,,,,,,,29,26,55,81
953,nobody,,,,,,,,,,,,,,,,,29,9,0,9
954,blueprint,,,,,,,,,,,,,,,,,29,44,33,77
955,open mike eagle,,,,,,,,,,,,,,,,,29,59,44,103
956,maya jupiter,,,,,,,,,,,,,,,,,29,10,32,42
957,volume 10,,,,,,,,,,,,,,,,,29,15,49,64
958,trick daddy,,okay,thug,ain't,done,shut,got,wassup,way,ah,hah,nigga,ya,know,god,'em,28,110,76,186
959,brisco,,,,,,,,,,,,,,,,,28,16,4,20
960,marques houston,,,,,,,,,,,,,,,,,28,18,56,74
961,eva alordiah,,,,,,,,,,,,,,,,,6,3,10,13
962,orko eloheim,,,,,,,,,,,,,,,,,29,3,10,13
963,el-p,,,,,,,,,,,,,,,,,29,36,0,36
964,blu,,,,,,,,,,,,,,,,,29,108,31,139
965,fatlip,,,,,,,,,,,,,,,,,29,37,66,103
966,tate kobang,,,,,,,,,,,,,,,,,29,6,14,20
967,doseone,,,,,,,,,,,,,,,,,29,8,24,32
968,sampa the great,,,,,,,,,,,,,,,,,29,20,5,25
969,dj muggs,,,,,,,,,,,,,,,,,29,21,46,67
970,riff raff,,,,,,,,,,,,,,,,,2,32,45,77
971,fredo bang,,,,,,,,,,,,,,,,,2,62,19,81
972,loyle carner,,,,,,,,,,,,,,,,,2,25,100,125
973,westside gunn,,,,,,,,,,,,,,,,,29,59,40,99
974,roc marciano,,,,,,,,,,,,,,,,,29,85,35,120
975,statik selektah,,ain't,back,though,hear,shit,got,another,love,live,niggas,level,time,day,let,one,29,71,102,173
976,cousin stizz,,,,,,,,,,,,,,,,,2,18,41,59
977,ad-rock,,,,,,,,,,,,,,,,,28,0,8,8
978,daddy-o,,,,,,,,,,,,,,,,,28,7,31,38
979,adam calhoun,,,,,,,,,,,,,,,,,72,11,17,28
980,madchild,,,,,,,,,,,,,,,,,29,72,29,101
981,colt ford,,,,,,,,,,,,,,,,,72,11,4,15
982,tom macdonald,,,,,,,,,,,,,,,,,72,3,5,8
983,nova rockafeller,,,,,,,,,,,,,,,,,29,2,9,11
984,chris webby,,,,,,,,,,,,,,,,,29,46,27,73
985,rittz,,,,,,,,,,,,,,,,,72,43,23,66
986,struggle jennings,,,,,,,,,,,,,,,,,72,18,6,24
987,bubba sparxxx,,,,,,,,,,,,,,,,,28,38,13,51
988,lil wyte,,,,,,,,,,,,,,,,,72,32,18,50
989,jarren benton,,,,,,,,,,,,,,,,,29,57,21,78
990,wrekonize,,,,,,,,,,,,,,,,,72,29,22,51
991,jelly roll,,,,,,,,,,,,,,,,,72,42,18,60
992,upchurch,,,,,,,,,,,,,,,,,72,8,12,20
993,adam saleh,,,,,,,,,,,,,,,,,5,1,3,4
994,faydee,,,,,,,,,,,,,,,,,5,5,1,6
995,fousey,,,,,,,,,,,,,,,,,5,1,1,2
996,mumzy stranger,,,,,,,,,,,,,,,,,5,5,6,11
997,adam ro,,,,,,,,,,,,,,,,,2,0,1,1
998,ad&#225;n zapata,,,,,,,,,,,,,,,,,5,1,1,2
999,mc davo,,,,,,,,,,,,,,,,,5,4,3,7
1000,saba,,,,,,,,,,,,,,,,,2,24,0,24
1001,smoke dza,,,,,,,,,,,,,,,,,29,74,55,129
1002,substantial,,,,,,,,,,,,,,,,,29,22,8,30
1003,krayzie bone,,,,,,,,,,,,,,,,,28,118,13,131
1004,quelle chris,,,,,,,,,,,,,,,,,29,38,22,60
1005,domino,,,,,,,,,,,,,,,,,72,21,3,24
1006,gerald walker,,,,,,,,,,,,,,,,,29,3,14,17
1007,glc,,,,,,,,,,,,,,,,,28,33,93,126
1008,taelor gray,,,,,,,,,,,,,,,,,30,2,10,12
1009,mick jenkins,,,,,,,,,,,,,,,,,29,33,10,43
1010,jabee,,,,,,,,,,,,,,,,,29,15,25,40
1011,denmark vessey,,,,,,,,,,,,,,,,,29,26,39,65
1012,adeem,,,,,,,,,,,,,,,,,29,4,0,4
1013,jay sean,,,,,,,,,,,,,,,,,28,40,21,61
1014,chevy woods,,,,,,,,,,,,,,,,,2,31,43,74
1015,frenchie,,,,,,,,,,,,,,,,,28,11,0,11
1016,flipp dinero,,,,,,,,,,,,,,,,,2,5,20,25
1017,chanel west coast,,,,,,,,,,,,,,,,,72,4,22,26
1018,joyner lucas,,,,,,,,,,,,,,,,,6,21,17,38
1019,j. holiday,,,,,,,,,,,,,,,,,28,15,72,87
1020,camu tao,,,,,,,,,,,,,,,,,29,4,16,20
1021,cage,,,,,,,,,,,,,,,,,29,21,22,43
1022,mr. lif,,,,,,,,,,,,,,,,,29,44,78,122
1023,blockhead,,,,,,,,,,,,,,,,,29,14,8,22
1024,homeboy sandman,,,,,,,,,,,,,,,,,29,65,15,80
1025,illogic,,,,,,,,,,,,,,,,,29,19,50,69
1026,serengeti,,,,,,,,,,,,,,,,,29,10,5,15
1027,evidence,,,,,,,,,,,,,,,,,29,83,54,137
1028,mickey factz,,,,,,,,,,,,,,,,,29,36,20,56
1029,fort minor,,back,drop,know,c'mon,percent,got,go,now,everybody,really,never,petrified,feel,wanna,'cause,2,33,132,165
1030,sa-roc,,,,,,,,,,,,,,,,,29,25,29,54
1031,rob sonic,,,,,,,,,,,,,,,,,29,12,31,43
1032,affion crockett,,,,,,,,,,,,,,,,,29,4,0,4
1033,afrika bambaataa,,,,,,,,,,,,,,,,,29,23,5,28
1034,boys noize,,,,,,,,,,,,,,,,,13,15,8,23
1035,lunice,,,,,,,,,,,,,,,,,2,10,4,14
1036,wise intelligent,,,,,,,,,,,,,,,,,29,30,103,133
1037,mann,,,,,,,,,,,,,,,,,72,16,0,16
1038,swizzz,,,,,,,,,,,,,,,,,72,23,2,25
1039,esham,,,,,,,,,,,,,,,,,72,18,4,22
1040,q-unique,,,,,,,,,,,,,,,,,29,28,73,101
1041,nine,,,,,,,,,,,,,,,,,29,21,18,39
1042,slaine,,never,got,real,back,bobby,day,cause,broken,go,stay,dont,even,way,everything,toys,29,82,67,149
1043,cuban link,,,,,,,,,,,,,,,,,29,16,75,91
1044,twisted insane,,,,,,,,,,,,,,,,,72,37,31,68
1045,kutt calhoun,,,,,,,,,,,,,,,,,72,20,42,62
1046,big shug,,,,,,,,,,,,,,,,,29,35,49,84
1047,stevie stone,,,,,,,,,,,,,,,,,72,25,29,54
1048,agallah,,,,,,,,,,,,,,,,,29,51,24,75
1049,malik b.,,,,,,,,,,,,,,,,,29,14,34,48
1050,special ed,,,,,,,,,,,,,,,,,28,24,85,109
1051,ahmad,,,,,,,,,,,,,,,,,29,4,0,4
1052,aitch,,,,,,,,,,,,,,,,,2,40,14,54
1053,m1llionz,,,,,,,,,,,,,,,,,2,14,112,126
1054,tana,,,,,,,,,,,,,,,,,2,15,6,21
1055,aj tracey,,,,,,,,,,,,,,,,,2,38,23,61
1056,mostack,,,,,,,,,,,,,,,,,2,13,16,29
1057,toddla t,,,,,,,,,,,,,,,,,2,18,11,29
1058,tay keith,,,,,,,,,,,,,,,,,2,28,107,135
1059,skepta,,,,,,,,,,,,,,,,,2,67,34,101
1060,novelist,,,,,,,,,,,,,,,,,6,14,0,14
1061,baauer,,,,,,,,,,,,,,,,,2,14,10,24
1062,general levy,,,,,,,,,,,,,,,,,5,5,3,8
1063,stormzy,,man,got,yeah,know,mum,one,let,back,dickhead,still,tell,fuck,mike,never,say,2,65,85,150
1064,digga d,,,,,,,,,,,,,,,,,2,25,10,35
1065,jme,,,,,,,,,,,,,,,,,6,27,13,40
1066,aja,,,,,,,,,,,,,,,,,28,4,1,5
1067,raja kumari,,,,,,,,,,,,,,,,,5,15,23,38
1068,ajs nigrutin,,,,,,,,,,,,,,,,,5,3,7,10
1069,frenkie,,,,,,,,,,,,,,,,,28,6,24,30
1070,danny boy,,,,,,,,,,,,,,,,,72,11,10,21
1071,maska,,,,,,,,,,,,,,,,,5,5,4,9
1072,general woo,,,,,,,,,,,,,,,,,5,3,8,11
1073,edo maajka,,,,,,,,,,,,,,,,,5,4,17,21
1074,mar&#269;elo,,,,,,,,,,,,,,,,,5,3,0,3
1075,wikluh sky,,,,,,,,,,,,,,,,,5,3,5,8
1076,akthesavior,,,,,,,,,,,,,,,,,29,9,8,17
1077,yung simmie,,,,,,,,,,,,,,,,,30,10,3,13
1078,a$ap twelvyy,,,,,,,,,,,,,,,,,29,20,13,33
1079,zombie juice,,,,,,,,,,,,,,,,,2,12,36,48
1080,issa gold,,,,,,,,,,,,,,,,,29,6,11,17
1081,aka,,,,,,,,,,,,,,,,,6,23,0,23
1082,akala,,,,,,,,,,,,,,,,,6,13,28,41
1083,roots manuva,,,,,,,,,,,,,,,,,29,13,4,17
1084,jasiri x,,,,,,,,,,,,,,,,,29,5,45,50
1085,berner,,yeah,got,money,smoke,now,shit,dumb,leave,strains,really,trying,fuck,feel,know,top,72,73,111,184
1086,mike skinner,,,,,,,,,,,,,,,,,2,5,12,17
1087,j hus,,,,,,,,,,,,,,,,,2,17,90,107
1088,rodney p,,,,,,,,,,,,,,,,,2,11,29,40
1089,lowkey,,,,,,,,,,,,,,,,,6,17,0,17
1090,ms banks,,,,,,,,,,,,,,,,,6,39,14,53
1091,jammer,,,,,,,,,,,,,,,,,6,10,13,23
1092,dizzee rascal,,,,,,,,,,,,,,,,,6,18,14,32
